product_code,product_name,color
000104002009000,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,Hồng
1010030010130000,Xe đạp Thống Nhất GRX 2.0 Xanh lá,Xanh Lá
000333002008000,Xe đạp Thống Nhất Super 26 S ghi,Ghi
000230002013000,Xe đạp Thống Nhất LD 26 Pastel Xanh,Pastel Xanh
1000320050010000,Xe đạp Thống Nhất Road RPD 700C V5 Đen,Đen
1000320050020000,Xe đạp Thống Nhất Road RPD 700C V5 Trắng,Trắng
000232003008000,Xe đạp Thống Nhất MS 27.5 Ghi,Ghi
000232003002000,Xe đạp Thống Nhất MS 27.5 Trắng,Trắng
000336002001000,Xe đạp Thống Nhất SK 20 đen,Đen
000336002004000,Xe đạp Thống Nhất SK 20 đỏ,Đỏ
000336002022000,Xe đạp Thống Nhất SK 20 xanh,Xanh
100029005010000,Xe đạp Thống Nhất CPD 700C Đen,Đen
1000400050020000,Xe đạp Thống Nhất MTB SPD 27.5 17 Trắng,Trắng
1000400050010000,Xe đạp Thống Nhất MTB SPD 27.5 17 Đen,Đen
000337002001000,Xe đạp Thống Nhất SK 24 đen,Đen
000337002008000,Xe đạp Thống Nhất SK 24 ghi,Ghi
000230002014000,Xe đạp Thống Nhất LD 26 Xanh Santorini,Xanh Santorini
000230002009000,Xe đạp Thống Nhất LD 26 Pastel Hồng,Hồng
1000400050080010,Xe đạp Thống Nhất MTB SPD 27.5 17 Ghi,Ghi
1000400050200000,Xe đạp Thống Nhất MTB SPD 27.5 17 Xanh,Xanh
100029005090000,Xe đạp Thống Nhất CPD 700C Hồng,Hồng
000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem
100029005220000,Xe đạp Thống Nhất CPD 700C Xanh,Xanh
100029005080000,Xe đạp Thống Nhất CPD 700C Ghi,Ghi
000122002009001,Xe đạp Thống Nhất Bubbles 20 Hồng dạ quang,Quang
000122002019000,Xe đạp Thống Nhất Bubbles 20 Vàng chanh,Chanh
000122002022000,Xe đạp Thống Nhất Bubbles 20 Xanh,Xanh
000122002024000,Xe đạp Thống Nhất Bubbles 20 Tím dạ quang,Quang
000219002023000,Xe đạp Thống Nhất GN 2.0 700C Kem,Kem
000105002013000,Xe đạp Thống Nhất Batwheels 12 Xanh,Xanh
000105002004000,Xe đạp Thống Nhất Batwheels 12 Đỏ,Đỏ
000106002004000,Xe đạp Thống Nhất Batwheels 16 Đỏ,Đỏ
000102002023000,Xe đạp Thống Nhất We Bare Bears 12 Kem,Kem
1000320050200000,Xe đạp Thống Nhất Road RPD 700C V5 Xanh da trời,Trời
000219002022000,Xe đạp Thống Nhất GN 2.0 700C Xanh,Xanh
000333002022002,Xe đạp Thống Nhất Super 26 S xanh,Xanh
000132002022001,Xe đạp Thống Nhất GN 2.0 20 xanh - Superman,Superman
000132002003001,Xe đạp Thống Nhất GN 2.0 20 đỏ - Wonderwoman,Wonderwoman
000103002009000,Xe đạp Thống Nhất We Bare Bears 16 Hồng,Hồng
000106002001000,Xe đạp Thống Nhất Batwheels 16 Đen,Đen
000106002013000,Xe đạp Thống Nhất Batwheels 16 Xanh,Xanh
000337002022000,Xe đạp Thống Nhất SK 24 xanh,Xanh
1000400050090000,Xe đạp Thống Nhất MTB SPD 27.5 15 Hồng,Hồng
000104002020000,Xe đạp Thống Nhất Tom & Jerry 14 Xanh da trời,Trời
000303002020000,Xe đạp Thống Nhất MTB 20-03 Tem Xanh da trời,Trời
000231002002000,Xe đạp Thống Nhất LD 26 We Bare Bears Trắng,Trắng
000231002023000,Xe đạp Thống Nhất LD 26 We Bare Bears Kem,Kem
000103002025000,Xe đạp Thống Nhất We Bare Bears 16 Xanh Mint,Mint
000219002012000,Xe đạp Thống Nhất GN 2.0 700C Ghi,Ghi
000232003009000,Xe đạp Thống Nhất MS 27.5 Hồng,Hồng
1010030010220000,Xe đạp Thống Nhất GRX 2.0 Xanh dương,Xanh Dương
1000400050080000,Xe đạp Thống Nhất MTB SPD 27.5 15 Ghi,Ghi
000102002009000,Xe đạp Thống Nhất We Bare Bears 12 Hồng,Hồng
000132002001001,Xe đạp Thống Nhất GN 2.0 20 đen - Bat man,Bat Man
000233003022001,Xe đạp Thống Nhất MS Superman 27.5 DC xanh,Xanh
000406002004000,Xe đạp Thống Nhất nam 0209 đỏ đậm,Đậm
000225002002001,Xe đạp Thống Nhất New 26 Trắng DA HP,Hp
000225002007001,Xe đạp Thống Nhất New 26 Xanh DA HP,Hp
000225002004001,Xe đạp Thống Nhất New 26 màu đỏ DA HP,Hp
000225002015001,Xe đạp Thống Nhất New 26 Café/nâu DA HP,Hp
000333002001003,Xe đạp Thống Nhất Super 26 S đen DA HP,Hp
000333002022003,Xe đạp Thống Nhất Super 26 S xanh DA HP,Hp
000333002008003,Xe đạp Thống Nhất Super 26 S ghi DA HP,Hp
000407002019000,Xe đạp Thống Nhất nữ 0209 Base vàng cánh gián,Gián
000419002015000,Xe đạp Thống Nhất nam 0209 Base nâu,Nâu
000407002010000,Xe đạp Thống Nhất nữ 0209 Base xanh,Xanh
000103002023000,Xe đạp Thống Nhất We Bare Bears 16 Kem,Kem
1000320010040000,"Xe đạp Thống Nhất Wonder Woman 20"" Đỏ",Đỏ
1010130010220000,Xe đạp Thống Nhất REX Xanh dương,Xanh Dương
000217002007001,Xe đạp Thống Nhất GN 06 26 D Coban,Coban
1010130010050000,Xe đạp Thống Nhất REX Cam,Cam
000333002001002,Xe đạp Thống Nhất Super 26 S đen,Đen
1010030010260000,Xe đạp Thống Nhất GRX 2.0 Be,Be
