fiscal_year,fiscal_month,product_code,product_name,group_code,group_name,line_name,color,avg_unit_price,forecast_qty_base,forecast_revenue_base,forecast_qty_conservative,forecast_qty_optimistic,forecast_revenue_conservative,forecast_revenue_optimistic,calibration_factor,selected_forecast_model,forecast_selection_type
2026,4,1000270020220000,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,KIDBIKE_2,Xe trẻ em nhóm 2,Xe Spaceboy 16,Xanh Dương,833299.9861591696,227.33999999999997,189442418.8534256,181.87199999999999,272.80799999999994,151553935.0827405,227330902.62411067,0.9,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000219002012000,Xe đạp Thống Nhất GN 2.0 700C Ghi,Unknown,Unknown,Unknown,Ghi,1638461.2307692308,112.97,185096965.24,90.376,135.564,148077572.192,222116358.288,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000337002022000,Xe đạp Thống Nhất SK 24 xanh,Unknown,Unknown,Unknown,Xanh,1635856.5046728973,108.46000000000001,177424996.49682245,86.76800000000001,130.15200000000002,141939997.19745797,212909995.79618695,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000333002001002,Xe đạp Thống Nhất Super 26 S đen,Unknown,Unknown,Unknown,Đen,2213194.0454545454,78.32,173337357.64,62.656,93.984,138669886.112,208004829.16799998,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000224002009000,Xe đạp Thống Nhất New 24 Hồng,CITYBIKE_P,Xe phổ thông,Xe New 24,Hồng,1436676.1363636365,120.45,173047640.62500003,96.36000000000001,144.54,138438112.50000003,207657168.75,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000401002016002,"Xe đạp Thống Nhất Nữ Truyền thống Lốp 2 màu, Ngọc",CITYBIKE_P,Xe phổ thông,Xe Nữ,Xanh Ngọc,1530555.0,109.01,166845800.55,87.20800000000001,130.812,133476640.44000001,200214960.66000003,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000335002001000,Xe đạp Thống Nhất Super 24 Đen,SPORTBIKE_S,Xe thể thao thép,Xe Super 24,Đen,2066511.00625,80.37,166085489.5723125,64.296,96.444,132868391.65785001,199302587.486775,0.9,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000209002003000,Xe đạp Thống Nhất 219-26 Đỏ đun,CITYBIKE_P,Xe phổ thông,Xe 219-26,Đỏ Đun,1454700.4307692307,112.97,164337507.664,90.376,135.564,131470006.1312,197205009.1968,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000217002001000,Xe đạp Thống Nhất GN 06-26 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-26,Đen,1424369.0797546012,114.61999999999999,163261183.92147237,91.696,137.54399999999998,130608947.13717791,195913420.70576686,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000231002023000,Xe đạp Thống Nhất LD 26 We Bare Bears Kem,Unknown,Unknown,Unknown,Kem,2187688.4135802467,73.48,160751344.62987652,58.784000000000006,88.176,128601075.70390123,192901613.55585185,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
